@RELATION BothInningResults

@attribute 'InningId' numeric
@attribute 'BoundaryRuns Presentage' numeric
@attribute 'avgMeanRunsInBattingSegment' numeric
@attribute 'avgPressureFactor' numeric
@attribute 'averageRunsInBattingSegment' numeric
@attribute 'dotBowlPresentage' numeric
@attribute 'dotBowlToRunsRatio' numeric
@attribute 'FirstBatOrSecondBat' {1,2}
@attribute 'fourHitting Frequency' numeric
@attribute 'matchId' numeric
@attribute 'numberOfBattingSegment' numeric
@attribute 'numberOfWicketsLost' numeric
@attribute 'sixHittingFrequency' numeric
@attribute 'Class' {win,loss}

@data
21,35.55555555555556,2.4339622641509435,0.8490566037735849,2.4339622641509435,51.61290322580645,0.4740740740740741,1,9.67741935483871,11,53,8,5.645161290322581,loss
22,63.768115942028984,2.7,1,2.7,41.904761904761905,0.3188405797101449,2,20.952380952380953,11,50,3,1.9047619047619047,win
23,38.095238095238095,2.396551724137931,0.8793103448275862,2.396551724137931,38.888888888888886,0.3333333333333333,1,11.11111111111111,12,58,9,3.1746031746031744,loss
24,31.57894736842105,2.7346938775510203,1,2.7346938775510203,31.77570093457944,0.2236842105263158,2,11.214953271028037,12,49,1,4.672897196261682,win
25,36.36363636363637,2.1343283582089554,0.835820895522388,2.1343283582089554,39.2,0.3181818181818182,1,11.2,13,67,7,4,loss
26,33.54838709677419,4.866666666666666,1.5666666666666667,4.866666666666666,27.272727272727273,0.13548387096774195,2,16.883116883116884,13,30,0,14.285714285714286,win
27,45.56962025316456,2.4098360655737703,0.9016393442622951,2.4098360655737703,31.2,0.2468354430379747,1,14.4,14,61,8,1.6,loss
28,46.91358024691358,2.8333333333333335,1,2.8333333333333335,37.39837398373984,0.2839506172839506,2,15.447154471544716,14,54,6,2.4390243902439024,win
29,38.20224719101124,2.9491525423728815,1.305084745762712,2.9491525423728815,34.959349593495936,0.24157303370786518,1,13.821138211382113,15,59,5,6.504065040650406,win
30,33.93939393939394,2.3582089552238807,0.9850746268656716,2.3582089552238807,28.225806451612904,0.21212121212121213,2,11.290322580645162,15,67,10,4.032258064516129,loss
31,43.7956204379562,2.0327868852459017,0.7704918032786885,2.0327868852459017,42.4,0.38686131386861317,1,12,16,61,8,2.4,loss
32,49.27536231884058,2.6739130434782608,0.9130434782608695,2.6739130434782608,44.067796610169495,0.37681159420289856,2,14.40677966101695,16,46,3,1.694915254237288,win
33,43.97905759162304,3.0161290322580645,1.032258064516129,3.0161290322580645,25.40983606557377,0.16230366492146597,1,17.21311475409836,17,62,5,4.098360655737705,win
34,35.35911602209945,2.640625,1.078125,2.640625,26.446280991735538,0.17679558011049723,2,13.223140495867769,17,64,5,5.785123966942149,loss
35,46.34146341463415,2.5396825396825395,1.126984126984127,2.5396825396825395,32.78688524590164,0.24390243902439024,1,15.573770491803279,18,63,8,2.459016393442623,loss
36,50.29940119760479,3.0961538461538463,1.1153846153846154,3.0961538461538463,27.35042735042735,0.19161676646706588,2,17.94871794871795,18,52,3,1.7094017094017093,win
37,44.89795918367347,3.4339622641509435,1.150943396226415,3.4339622641509435,29.133858267716537,0.18877551020408162,1,17.322834645669293,19,53,7,3.937007874015748,win
38,21.192052980132452,2.2419354838709675,0.8387096774193549,2.2419354838709675,29.508196721311474,0.23841059602649006,2,6.557377049180328,19,62,10,4.918032786885246,loss
39,40.23668639053255,2.7,1.15,2.7,34.92063492063492,0.2603550295857988,1,13.492063492063492,20,60,6,3.9682539682539684,loss
40,37.2093023255814,3.2549019607843137,1.196078431372549,3.2549019607843137,30.508474576271187,0.20930232558139536,2,13.559322033898304,20,51,2,4.237288135593221,win
41,36.36363636363637,2.5762711864406778,0.9661016949152542,2.5762711864406778,40.476190476190474,0.3090909090909091,1,11.904761904761905,21,59,10,5.555555555555555,loss
42,44.44444444444444,3.0545454545454547,1.2545454545454546,3.0545454545454547,33.333333333333336,0.2222222222222222,2,16.666666666666668,21,55,5,6.140350877192983,win
43,49.438202247191015,3.1538461538461537,1.1538461538461537,3.1538461538461537,33.6,0.23595505617977527,1,17.6,22,52,6,3.2,win
44,21.301775147928993,3.176470588235294,1.1372549019607843,3.176470588235294,37.704918032786885,0.27218934911242604,2,7.377049180327869,22,51,6,7.377049180327869,loss
45,34.5679012345679,2.4126984126984126,0.9047619047619048,2.4126984126984126,40.32258064516129,0.30864197530864196,1,11.290322580645162,23,63,8,6.451612903225806,win
